identifier,ng_50_1,ng_50_2,ng_50_3,ng_100_1,ng_100_2,ng_100_3
Cre01.g005050.t1.1|PACid:30788576|--561,2064.397279,2073.168057,1857.358636,1736.462033,1668.094025,1709.028281
Cre01.g005050.t1.1|PACid:30788576|--574,504.2881716,558.8604261,575.1724667,634.9496066,582.4527387,598.2437742
Cre01.g005050.t1.1|PACid:30788576|--586,614.5159181,647.9615182,564.2856513,555.4666597,547.9396727,494.197564
Cre01.g005050.t1.1|PACid:30788576|--611,705.7640683,762.4051026,667.7373491,665.1460091,654.2344889,631.3035709
Cre01.g005050.t1.1|PACid:30788576|--619,58.68953071,61.35429877,64.64394321,78.97866961,78.33713643,94.52330556
Cre01.g005050.t1.1|PACid:30788576|--68,353.2368223,373.1246806,291.5865362,336.9634756,299.0901128,271.2807464
Cre01.g005050.t1.1|PACid:30788576|--695,3156.401066,2950.612512,3072.51894,3318.127687,3371.241141,3337.697887
Cre01.g005050.t1.1|PACid:30788576|--707,8491.070652,7925.450137,7830.764202,7564.649056,7559.511007,7484.943041
Cre01.g005050.t1.1|PACid:30788576|--81,5626.066461,5612.441545,5176.500427,5130.128898,4866.009407,4950.262092
Cre01.g006950.t1.1|PACid:30788755|--183,190.123432,0,155.6386345,0,0,0.663805169
Cre01.g007051.t1.2|PACid:30788581|--115,93.47515805,108.1742698,101.4670015,247.2727043,235.1276071,231.5661809
Cre01.g007600.t1.1|PACid:30789013|--81,122.8814384,173.9892403,107.1083844,653.5186537,630.3085817,620.1472999
Cre01.g010400.t1.2|PACid:30788845|--115,4971.758918,4831.927087,5460.373852,7286.770502,7949.376582,6446.262203
Cre01.g010400.t1.2|PACid:30788845|--140,6741.508892,6979.640868,6823.373077,6536.36167,7093.575859,7061.445545
Cre01.g010400.t1.2|PACid:30788845|--60,0,57.5710236,14.57379275,904.2838017,906.743921,689.1854508
Cre01.g010400.t1.2|PACid:30788845|--76,22072.68464,21123.85611,19886.96092,18207.49864,18501.56476,19552.39654
Cre01.g010500.t1.2|PACid:30789054|--9,1192.3708,1201.299353,1044.418733,810.2470089,706.6585269,931.1395618
Cre01.g012150.t1.2|PACid:30789458|--329,1224.341876,1295.941106,1104.202335,1213.91982,1116.783279,1137.171796
Cre01.g012150.t1.2|PACid:30789458|--329-335,174.7039587,172.1755706,156.6801413,90.04373217,79.15786765,95.49415791
Cre01.g013550.t1.1|PACid:30789047|--710,87.51872634,89.95578012,81.08497846,99.41852117,88.55185903,86.07618114
Cre01.g014050.t1.2|PACid:30789551|--169,216.422446,211.2756397,198.5578418,239.104152,191.7740131,179.121698
Cre01.g014350.t1.2|PACid:30789386|--64,1327.861913,1343.245688,1157.996487,1055.942798,944.8176176,1024.185778
Cre01.g014350.t1.2|PACid:30789386|--82,3.142247388,3.594497198,2.477668643,530.6180106,967.4574354,1025.858833
Cre01.g015350.t1.1|PACid:30789577|--278,697.3269413,625.7414493,660.9809746,680.9582202,684.6728554,741.765522
Cre01.g016150.t1.2|PACid:30789476|--111,115.3919817,125.1265037,107.7820445,134.2895656,115.7272424,117.4287576
Cre01.g016300.t1.1|PACid:30788707|--282,803.4169468,812.1253179,763.8174982,807.1085921,811.0045127,763.9263858
Cre01.g016514.t1.1|PACid:30788603|--122,11508.45193,11180.65405,10289.6872,13463.62516,13493.20189,13199.30096
Cre01.g016528.t1.1|PACid:30788695|--19,106.8058226,100.5015927,118.2620281,134.8101504,100.2542961,112.826339
Cre01.g018000.t1.1|PACid:30788815|--28,472.7876066,430.2649955,430.3803904,477.916889,431.3162956,436.2997423
Cre01.g018000.t1.1|PACid:30788815|--85,464.7995132,368.590075,387.8877094,388.5772537,382.4509512,384.480052
Cre01.g018950.t1.2|PACid:30789081|--130,45.3528473,65.88261569,34.49499836,20.65667156,54.22225633,44.03368288
Cre01.g022500.t1.2|PACid:30789495|--815,3.930202081,0,19.28830508,171.9416388,180.4553011,198.181294
Cre01.g024100.t1.1|PACid:30789090|--210,64.88990785,62.97192673,49.99980918,0,0,0
Cre01.g024350.t1.2|PACid:30789351|--113,736.4852009,607.3565373,582.5319968,1695.835585,1842.380165,1492.629913
Cre01.g024350.t1.2|PACid:30789351|--444,404.7652961,410.0287748,383.0861885,491.7314988,474.8308668,486.5512459
Cre01.g026600.t1.2|PACid:30789061|--95,829.5130101,887.5870325,793.946622,1561.253557,1630.72869,1312.425076
Cre01.g027000.t1.2|PACid:30788418|--67,2.570629516,0,0,47.20797935,43.48113281,46.87043775
Cre01.g027800.t1.2|PACid:30788528|--270,268.4849039,265.798861,233.4334154,433.6227408,393.175493,433.3725666
Cre01.g027800.t1.2|PACid:30788528|--447,134.7887551,120.5575132,154.7125907,130.2968498,119.9523429,97.94128629
Cre01.g029300.t1.2|PACid:30788345|--245,2663.830595,2663.490854,2429.208769,2203.322829,2081.808381,2143.006415
Cre01.g029300.t1.2|PACid:30788345|--273,1391.886786,0,1049.243246,101.3232688,86.63526101,113.8466328
Cre01.g029750.t1.1|PACid:30789698|--602,771.6433871,846.9127307,735.6987368,1981.638551,2202.7873,2137.803414
Cre01.g030050.t1.2|PACid:30788509|--113,18308.99939,19289.40137,16307.41385,16018.34075,16063.10655,14563.05845
Cre01.g030050.t1.2|PACid:30788509|--73,126.0954887,124.214428,92.40139362,93.28376723,86.28420668,102.6926659
Cre01.g032050.t1.2|PACid:30789150|--104,164.6138792,193.2014139,153.9575173,404.3326979,403.5860668,387.6254392
Cre01.g032300.t1.2|PACid:30789208|--13,247.4422013,234.5243557,231.9058078,171.2481357,182.0758716,174.3519043
Cre01.g032300.t1.2|PACid:30789208|--34,8633.834948,9711.532533,8172.941815,10342.57439,9993.359249,11981.07566
Cre01.g032450.t1.2|PACid:30788403|--844,32.35514695,35.40893906,36.35111354,29.72660254,0,10.33848107
Cre01.g032450.t1.2|PACid:30788403|--857,214.8892261,248.8226558,191.7450881,166.366109,132.1203789,135.2329506
Cre01.g032600.t1.1|PACid:30789391|--175-182,567.6834257,594.1091218,590.2610586,719.5506027,690.505471,678.2824036
Cre01.g032600.t1.1|PACid:30789391|--265,221.5540895,115.6321771,555.7686328,810.3850189,792.983286,789.6694914
Cre01.g032600.t1.1|PACid:30789391|--550,3098.295417,2934.225155,2780.668427,2529.556062,2448.064566,2536.481645
Cre01.g032650.t1.2|PACid:30788812|--216,129.0084174,112.7573094,122.6993093,151.9996534,151.6100606,133.9372486
Cre01.g033400.t1.2|PACid:30789612|--42,581.5266695,564.9104901,513.6910415,441.882797,412.2926097,557.2650232
Cre01.g033400.t1.2|PACid:30789612|--42-46,224.8365312,811.0222408,614.7536931,784.4466375,767.9470728,857.1118466
Cre01.g033400.t1.2|PACid:30789612|--62,704.2711109,718.449047,592.3338586,644.0086588,572.3750405,539.2908228
Cre01.g033400.t1.2|PACid:30789612|--62-66-67,108.9712375,118.7252297,103.9376911,90.94998842,95.02039728,100.3380678
Cre01.g034000.t1.2|PACid:30789060|--826,443.5381696,443.6063501,398.4559574,346.0669411,339.2767461,376.3193796
Cre01.g036950.t1.2|PACid:30789554|--389,804.5799184,2.55495437,741.6653677,43.29415882,23.72689503,52.51293308
Cre01.g037850.t1.1|PACid:30788900|--190,914.1376924,897.3842825,880.2736379,882.9925455,905.004676,919.1719704
Cre01.g038100.t1.2|PACid:30789074|--368-375,0,9.70467711,0,1.681884766,27.7300488,1.588446197
Cre01.g038200.t1.2|PACid:30789477|--126,727.9256481,736.199616,618.6990416,717.3002291,618.5010601,624.7821481
Cre01.g038400.t1.2|PACid:30788539|--106,22877.90058,22531.83425,20417.38748,21475.69652,21330.43706,21569.63783
Cre01.g038600.t1.2|PACid:30789324|--230,0,0,0,110.5949504,121.711246,106.8671118
Cre01.g038600.t1.2|PACid:30789324|--75,151.9258382,148.6622284,138.257449,11.87886896,4.717144663,10.56463415
Cre01.g038950.t1.2|PACid:30789410|--61-62,193.2331515,220.6154921,177.8939271,199.2735765,186.6721566,182.4970384
Cre01.g039250.t1.1|PACid:30788560|--186,12316.43636,12709.76079,12288.39436,11852.33727,12438.52452,12570.02639
Cre01.g039250.t1.1|PACid:30788560|--220,9.772933899,407.111055,353.1955026,561.2483671,513.4151361,457.4148957
Cre01.g039250.t1.1|PACid:30788560|--220-223,892.2861718,800.6507622,676.0629262,936.3017431,908.0608848,900.4107032
Cre01.g039250.t1.1|PACid:30788560|--223,477.9150939,458.0672223,392.9847811,535.7314363,560.3722446,509.2736031
Cre01.g039250.t1.1|PACid:30788560|--61,6454.137603,6444.075486,5878.077217,5875.986048,5708.45329,5660.457488
Cre01.g039300.t1.2|PACid:30789032|--259,375.437107,379.0345524,390.395062,231.9488332,249.0198756,265.3472135
Cre01.g039300.t1.2|PACid:30789032|--335,431.3981469,619.2192259,544.0031998,682.5179141,771.2924381,708.9379506
Cre01.g040400.t1.2|PACid:30789620|--99,88.08204752,74.23264974,67.28767811,74.91691773,60.76476562,61.79573084
Cre01.g042750.t1.2|PACid:30789585|--157,1.009744911,0,57.65330024,153.2521482,156.8884637,150.6967655
Cre01.g042750.t1.2|PACid:30789585|--426,754.6524453,338.0635582,426.7048136,2606.155375,2711.277311,2265.771168
Cre01.g042750.t1.2|PACid:30789585|--489,92.15315101,143.2075509,111.1960308,1293.982846,1310.090332,1220.938038
Cre01.g042750.t1.2|PACid:30789585|--489-492,550.2593228,574.3245671,472.1283077,2570.066064,2464.885991,2356.576167
Cre01.g042750.t1.2|PACid:30789585|--492,57.74352368,73.88541741,32.06795497,0,0,0
Cre01.g044550.t1.2|PACid:30788484|--37,404.2143736,393.3820109,431.8043326,414.1720587,453.1641112,505.1011521
Cre01.g044550.t1.2|PACid:30788484|--48,1215.803733,1166.878558,1011.090232,3154.497126,3049.356412,2905.558636
Cre01.g044550.t1.2|PACid:30788484|--74,420.1986291,385.3284309,404.8145912,291.1103691,312.5537059,326.5346418
Cre01.g044550.t1.2|PACid:30788484|--90,3.302820447,145.6521608,41.69628078,465.3685177,393.3078875,343.1535161
Cre01.g044750.t1.1|PACid:30789564|--314-318,91.23468935,110.3139102,77.32970708,94.52352391,81.3461994,63.53516405
Cre01.g045200.t1.1|PACid:30788441|--175,548.6315202,553.7597426,489.7313621,13.51028969,29.06934431,0.478209687
Cre01.g045550.t1.2|PACid:30788918|--341,1633.319196,1606.968263,1425.645859,1674.084019,1608.988435,1642.979038
Cre01.g046652.t1.1|PACid:30789622|--144,0,0,0,84.57667929,102.6217698,71.20779037
Cre01.g047750.t1.2|PACid:30789695|--139,11306.72988,11640.84779,11620.62,10999.13223,11399.26962,11622.93205
Cre01.g047750.t1.2|PACid:30789695|--66,454.9887797,411.5177199,349.7402932,1057.96806,1084.139184,914.3765015
Cre01.g047800.t1.1|PACid:30788895|--199,296.589063,396.6789778,374.8877907,619.8554677,625.4045023,632.3757668
Cre01.g048150.t1.2|PACid:30788391|--102,46136.40755,44634.59642,41791.31607,39547.36885,39606.48061,39990.4961
Cre01.g048150.t1.2|PACid:30788391|--112,33889.41711,32693.86469,30930.38883,28576.26049,28283.13663,29477.28557
Cre01.g048150.t1.2|PACid:30788391|--131,25302.83198,25583.2383,22808.63557,23352.65339,23346.94386,22821.80839
Cre01.g048150.t1.2|PACid:30788391|--234,4534.252988,4163.90382,3868.566261,8368.30711,8352.069356,8878.036832
Cre01.g048150.t1.2|PACid:30788391|--8,174.0731593,183.3340307,182.7410155,68.89054225,55.26476833,71.78474799
Cre01.g049000.t1.2|PACid:30789427|--133,238.5032486,213.4695009,199.1882389,64.14677639,47.94656531,226.2814528
Cre01.g049000.t1.2|PACid:30789427|--97,603.4859192,600.7169523,513.6024506,558.042154,602.7032512,541.6881498
Cre01.g049826.t1.1|PACid:30789239|--1971,402.7967543,404.3158359,343.8805054,368.9287714,343.1993129,360.3764389
Cre01.g049826.t1.1|PACid:30789239|--218,109.7934646,130.7068394,123.4384875,215.5928039,224.7190051,231.7053824
Cre01.g049826.t1.1|PACid:30789239|--2348,272.3240357,234.925498,216.4460521,240.4991617,199.7609085,210.756673
Cre01.g049826.t1.1|PACid:30789239|--244,68.0339924,115.824191,81.79218458,270.923941,229.0270759,208.3580896
Cre01.g049826.t1.1|PACid:30789239|--278-287,15.39912528,181.697373,169.8776571,300.0267324,262.540952,286.0628421
Cre01.g049826.t1.1|PACid:30789239|--628,594.9421141,630.2040164,576.8166615,720.7464474,707.0140177,727.1176116
Cre01.g049826.t1.1|PACid:30789239|--650,1738.664344,1739.120152,1649.704426,1572.571426,1600.74956,1567.107986
Cre01.g049826.t1.1|PACid:30789239|--711,0,0.019351387,0,32.63070679,56.81704076,8.188393397
Cre01.g049826.t1.1|PACid:30789239|--754,411.3338703,839.5481283,21.67247609,17.31335449,13.31567704,26.08049215
Cre01.g049826.t1.1|PACid:30789239|--770,0,0,0,132.6228445,153.5921104,116.9794352
Cre01.g050100.t1.2|PACid:30789106|--114,299.3499156,298.6147168,219.363402,632.7820184,668.5031888,619.1746434
Cre01.g050400.t1.2|PACid:30789370|--59,0,23.78675849,26.98263084,166.6134448,208.4811559,185.4231486
Cre01.g050550.t1.2|PACid:30789417|--70,11442.00671,11444.38503,10081.33945,12889.301,12786.7526,12629.0637
Cre01.g050950.t1.2|PACid:30789075|--169,0,18.95173157,1.112680398,89.5052588,88.95918157,108.2684508
Cre01.g050950.t1.2|PACid:30789075|--363,1684.228407,1610.154822,1506.810705,1630.230394,1644.184446,1624.638662
Cre01.g050950.t1.2|PACid:30789075|--93,622.5813414,1753.133045,626.675728,2265.712756,2180.000767,2311.168892
Cre01.g051300.t1.1|PACid:30789009|--971-975,94.85619695,84.34515308,76.48859959,138.6643846,90.13829589,117.4723505
Cre01.g051950.t1.2|PACid:30789426|--297,115.1686622,113.5979699,92.90479713,93.58750238,125.8476189,121.4075766
Cre01.g052100.t1.2|PACid:30788991|--110,140.3690386,150.268782,109.083426,109.6246415,108.107274,85.32619046
Cre01.g054800.t1.2|PACid:30788988|--41,94.03445977,93.4242326,64.74431127,110.8004766,116.5219799,98.46339789
Cre01.g055408.t1.1|PACid:30788826|--126,101.0787439,100.3022743,100.5380557,206.6450412,195.0411195,187.8694713
Cre01.g056331.t1.1|PACid:30788861|--53,29.60942135,0,0,0,0,0
Cre01.g061077.t1.1|PACid:30788304|--193,2885.524855,2874.436525,2703.970247,3594.842723,3732.644726,3621.673904
Cre01.g061442.t1.1|PACid:30789677|--24,424.4777832,431.5842706,450.0067423,448.3359308,489.4216436,443.2617047
Cre01.g061442.t1.1|PACid:30789677|--61,1.397361918,109.7410156,84.94895883,136.1582527,130.7133332,113.50404
Cre01.g062537.t1.1|PACid:30789657|--93,6.470102923,11.56617592,16.6471298,34.48225032,47.27384437,40.52162754
Cre01.g069107.t1.1|PACid:30789405|--13,581.0721019,604.4169405,544.7541627,471.633228,462.5139837,414.3089041
Cre01.g069107.t1.1|PACid:30789405|--19,201.688725,199.6986061,209.2613729,186.2472304,184.7699853,187.7647485
Cre01.g069107.t1.1|PACid:30789405|--48,1717.307077,1761.108034,1431.389715,1315.626438,1102.86671,1333.515185
Cre01.g070202.t1.1|PACid:30789241|--189,551.874144,392.3594104,385.4589746,224.4339545,381.3493651,411.8693448
Cre01.g070202.t1.1|PACid:30789241|--94,1844.044873,1884.969571,1794.785027,1834.32767,1810.816411,1831.584555
Cre01.g071662.t1.1|PACid:30788823|--486,246.1867335,254.0605674,222.1858028,202.8785007,198.2796314,214.8976175
Cre02.g073200.t1.2|PACid:30784929|--103,0,7.5269648,0,124.5281485,108.8882075,50.49422504
Cre02.g073650.t1.2|PACid:30785080|--384,581.3442533,613.4459667,491.5376326,522.5937588,530.1314868,469.0420886
Cre02.g074100.t1.2|PACid:30785783|--52-55,811.645926,820.1842024,740.62495,843.6047196,767.7408499,714.9572826
Cre02.g074100.t1.2|PACid:30785783|--93,162.3171492,1418.313332,292.7474801,2167.125752,2305.679469,2142.723231
Cre02.g075650.t1.2|PACid:30785327|--166,95.86138427,87.19994812,42.56475013,113.713625,116.0942185,95.31909682
Cre02.g075700.t1.2|PACid:30785746|--17,36154.67999,35197.38205,32055.78672,33011.71411,32173.32658,33471.63705
Cre02.g076250.t1.1|PACid:30786008|--225,0,0,0,107.0226978,77.7882635,144.8900539
Cre02.g076250.t1.1|PACid:30786008|--392,0,270.1674454,385.6480485,671.0229037,508.2429687,367.4853929
Cre02.g076250.t1.1|PACid:30786008|--407,0,0,0,0,12.73898268,0
Cre02.g076250.t1.1|PACid:30786008|--469,135.6629023,87.49988559,47.53647646,380.3112117,377.469264,339.2197614
Cre02.g076250.t1.1|PACid:30786008|--552,49.39188558,4.220899781,56.59599885,55.08678514,21.63499724,37.29764207
Cre02.g077100.t1.2|PACid:30785552|--143,1301.911984,1290.206504,1147.793669,1197.581875,1075.656214,1117.293171
Cre02.g077300.t1.2|PACid:30785723|--262,225.1309744,177.5413934,185.0789514,183.5858585,154.4348969,202.4254338
Cre02.g077350.t1.2|PACid:30786207|--293,190.4983698,195.3484681,158.5208666,170.9236125,166.5249838,148.4210267
Cre02.g077550.t1.2|PACid:30786064|--271,712.6914273,734.6048021,853.3453629,801.1342647,886.3180581,767.8865917
Cre02.g077650.t1.2|PACid:30785674|--120,109.9996328,147.8882916,117.9060908,500.5973792,507.404656,464.1656023
Cre02.g077650.t1.2|PACid:30785674|--34,689.1987341,717.4904813,662.7061462,693.292436,711.6039554,705.879199
Cre02.g077750.t1.2|PACid:30786431|--614-617,275.2423353,2.012707589,265.5830274,12.43867491,18.21151215,15.23010562
Cre02.g077800.t1.2|PACid:30785888|--135,2.884235474,15.18010873,8.945641708,37.70235337,6.709414864,45.3360471
Cre02.g077800.t1.2|PACid:30785888|--650-654-657,714.6794429,676.2669037,707.1650346,1101.371441,1143.518298,1330.386612
Cre02.g077800.t1.2|PACid:30785888|--654,0,0,110.9139551,99.58936047,103.3655584,111.3735757
Cre02.g077800.t1.2|PACid:30785888|--654-657,4778.021175,4924.702169,4847.827931,4257.313733,4494.475764,4761.454095
Cre02.g077800.t1.2|PACid:30785888|--657,11.64146274,0,0.030432742,55.55038117,70.37633208,62.29339076
Cre02.g077800.t1.2|PACid:30785888|--728,25444.56565,24622.45497,22868.24785,23412.88689,23615.91662,23724.70977
Cre02.g077850.t1.2|PACid:30785838|--625-628,1927.482377,2185.555357,2098.397795,1876.881346,1893.705971,1950.910618
Cre02.g077850.t1.2|PACid:30785838|--699,11852.99012,11993.10636,10481.86016,10827.30697,10843.44723,11011.08642
Cre02.g078507.t1.2|PACid:30785671|--73-86,1169.42443,1129.831837,1031.256896,1009.491957,892.2606414,892.5944872
Cre02.g079600.t1.2|PACid:30785296|--165,6.694242599,15.23526663,2.124582373,5.93784978,26.33754916,28.45922797
Cre02.g079600.t1.2|PACid:30785296|--248,15.8700914,9.55555194,42.93567847,117.9875697,119.1804233,149.0492158
Cre02.g080200.t1.2|PACid:30786367|--470,209.4840635,292.7789583,190.5346846,872.0404156,835.909384,832.1903846
Cre02.g080200.t1.2|PACid:30786367|--582,0,0,0,106.5584626,57.79166712,90.92268094
Cre02.g080600.t1.2|PACid:30785719|--598,87.77253026,92.76785997,60.28830128,170.3373702,213.9171978,193.3115966
Cre02.g080650.t1.2|PACid:30784948|--503,80.82222,55.26599134,45.41933242,69.50351378,73.20309065,60.70523008
Cre02.g080650.t1.2|PACid:30784948|--671,133.3539487,164.7733716,159.9864707,191.0418227,197.9181637,213.3824156
Cre02.g080900.t1.2|PACid:30785998|--104,132.8093113,220.0409367,110.4175701,1763.704648,1336.032439,960.8432118
Cre02.g080900.t1.2|PACid:30785998|--219-225,229.4673455,242.0582186,236.055562,280.0301987,253.028437,250.6168361
Cre02.g080900.t1.2|PACid:30785998|--57,0,0,0,275.8536158,250.5519131,161.085911
Cre02.g081050.t1.2|PACid:30785944|--29,30659.80481,27793.90733,25581.9538,29778.32872,28547.01331,29460.70116
Cre02.g081050.t1.2|PACid:30785944|--96,20.80970639,8.851778208,17.84645185,468.1627321,487.8099712,422.3102953
Cre02.g081600.t1.1|PACid:30785485|--328,81.46503865,0,56.51334051,161.5300703,190.6018709,181.0017104
Cre02.g081600.t1.1|PACid:30785485|--332-335-338,176.3497646,148.3324588,155.3452425,154.6106427,178.8014115,143.8215547
Cre02.g081600.t1.1|PACid:30785485|--345,250.0921441,252.5457097,289.1923788,240.3340842,244.9492062,241.6887618
Cre02.g081650.t1.2|PACid:30784984|--254,84.58997006,0,7.766759888,0,4.756935349,0
Cre02.g081650.t1.2|PACid:30784984|--504,50.36163849,49.13560689,43.71612188,67.61180127,69.02415254,56.84320553
Cre02.g082500.t1.1|PACid:30786029|--130,350.8361474,351.0004147,356.660046,753.7746694,620.9987796,715.5000818
Cre02.g082550.t1.2|PACid:30785220|--520,527.8250996,531.2287099,443.3937642,449.7104516,453.3204669,432.6748941
Cre02.g082877.t1.1|PACid:30784992|--192,154.5458713,164.6429524,160.3357565,171.8255898,186.6854278,162.290372
Cre02.g082877.t1.1|PACid:30784992|--341,60.92408621,21.70285424,41.65121594,31.82753854,4.246971923,16.79848136
Cre02.g085450.t1.2|PACid:30785718|--166,4.53428033,2.830510423,4.760965167,149.894219,118.3893152,158.9534233
Cre02.g085450.t1.2|PACid:30785718|--358,0,0,0,266.9068668,266.9770703,234.8497413
Cre02.g085850.t1.1|PACid:30784923|--900,84.55447042,96.76267859,63.82188367,50.75977577,57.23942463,49.75645215
Cre02.g086300.t1.1|PACid:30786306|--40,0,72.56681112,57.83245017,149.9544392,96.79420005,152.8400708
Cre02.g086600.t1.2|PACid:30786398|--253,930.2813843,957.5783539,879.9936881,1694.80583,1607.36297,1619.623335
Cre02.g087100.t1.2|PACid:30786470|--350,22.67191171,0,51.50024885,81.06217512,77.54944287,73.90412022
Cre02.g087700.t1.2|PACid:30785120|--152,526.6606572,611.6914319,570.4344847,521.4191973,562.4121272,549.5436417
Cre02.g087700.t1.2|PACid:30785120|--52,3376.626326,3187.891314,2955.526192,3082.267079,3009.500874,2908.040707
Cre02.g087950.t1.2|PACid:30785739|--341,194.7263229,192.4007232,184.6427113,191.3145877,213.5442131,225.3753246
Cre02.g088900.t1.2|PACid:30785043|--275,195.6573027,0,127.6453323,0,0,0
Cre02.g090150.t1.2|PACid:30785624|--153,133.0669469,137.1935524,132.3047111,129.2036413,111.9945831,123.0333273
Cre02.g090850.t1.1|PACid:30785159|--300,2384.726766,2281.116015,2132.252887,2145.673762,2099.652083,2345.457332
Cre02.g090850.t1.1|PACid:30785159|--407,59.41546741,65.94973526,84.12604442,74.11269411,85.17359115,97.97256117
Cre02.g091100.t1.2|PACid:30785346|--154,15318.20894,12937.78927,13594.29857,12846.1328,12766.11808,12946.34214
Cre02.g091100.t1.2|PACid:30785346|--180,408.0071238,377.1573073,339.3170879,8.443059563,0,11.70823898
Cre02.g091100.t1.2|PACid:30785346|--64,2207.717114,2272.138477,1972.538032,2053.898358,2020.346206,1949.700433
Cre02.g091700.t1.2|PACid:30785960|--17,0,2.084115169,6.971106181,140.4984081,134.0768923,122.9964109
Cre02.g092950.t1.2|PACid:30785619|--199,113.0630336,111.2652346,89.40887909,127.4209258,107.5848484,99.13709233
Cre02.g092950.t1.2|PACid:30785619|--219,131.4545368,50.17236578,149.4648108,115.340271,124.906333,151.6418201
Cre02.g093650.t1.2|PACid:30786274|--66,7490.93124,7166.627582,7187.353281,9317.846334,9966.068045,9872.798338
Cre02.g093650.t1.2|PACid:30786274|--88,714.1817667,633.108668,669.2377158,353.5153144,299.1417615,618.3619437
Cre02.g093650.t1.2|PACid:30786274|--88-91,2476.043054,2590.075356,2348.142481,2352.052563,2250.915676,3233.823487
Cre02.g093650.t1.2|PACid:30786274|--91,7626.614323,7491.529876,6773.195552,9615.433106,9826.073297,10033.0756
Cre02.g093750.t1.2|PACid:30786225|--319,991.1329156,976.5045412,875.4971616,872.4430196,865.1427719,919.2392454
